curveIndex,static,x,y
0,0.0000,649,50
0,0.0000,648,54.5
0,0.0000,640,66.5
0,0.0000,628,82.5
0,0.0000,614,98.5
0,0.0000,600,113.5
0,0.0000,583.5,131
0,0.0000,563,153
0,0.0000,558,159.5
0,0.0000,548,170.5
0,0.0000,546,173
0,0.0000,544,174.5
0,0.0000,544,176.5
0,0.0000,546,183
0,0.0000,549,188
0,0.0000,569,218
0,0.0000,600,256.5
0,0.0000,625,285
0,0.0000,685,351.5
0,0.0000,705,372.5
0,0.0000,713.5,383.5
0,0.0000,716.5,387.5
0,0.0000,717,389
0,0.0000,717,390
0,0.0000,719,391
0,0.0000,719.5,391.5
0,0.0000,735.5,385
0,0.0000,748,381.5
0,0.0000,798,371.5
0,0.0000,848,362.5
0,0.0000,894.5,355
0,0.0000,931,354
0,0.0000,954,352
0,0.0000,962.5,352
0,0.0000,963,352
0,0.0000,963.5,351.5
0,0.0000,963.5,348
0,0.0000,963,336
0,0.0000,962,321.5
0,0.0000,961,302.5
0,0.0000,960,283.5
0,0.0000,960,266.5
0,0.0000,959,246.5
0,0.0000,955.5,228.5
0,0.0000,954.5,213.5
0,0.0000,952.5,196
0,0.0000,952.5,174.5
0,0.0000,952.5,165
0,0.0000,952.5,150.5
0,0.0000,952.5,141
0,0.0000,952.5,138.5
0,0.0000,952.5,137.5
0,0.0000,952.5,136
0,0.0000,952.5,131.5
0,0.0000,952.5,130
0,0.0000,952.5,128.5
0,0.0000,953.5,124.5
0,0.0000,954.5,118
0,0.0000,955,116
0,0.0000,955,115.5
0,0.0000,955,114.5
0,0.0000,947,112.5
0,0.0000,933.5,111.5
0,0.0000,914.5,109.5
0,0.0000,896.5,105.5
0,0.0000,885.5,102.5
0,0.0000,873,100.5
0,0.0000,858,98.5
0,0.0000,843.5,93.5
0,0.0000,829.5,89.5
0,0.0000,817,86.5
0,0.0000,805.5,85
0,0.0000,798,82.5
0,0.0000,792,79.5
0,0.0000,787,77
0,0.0000,781,76.5
0,0.0000,777,75
0,0.0000,774.5,74.5
0,0.0000,765,70.5
0,0.0000,759,69.5
0,0.0000,749,68
0,0.0000,737,64.5
0,0.0000,734,64.5
0,0.0000,731,64
0,0.0000,729.5,64
0,0.0000,725,63
0,0.0000,722,62.5
0,0.0000,719.5,62
0,0.0000,715,62
0,0.0000,711.5,61
0,0.0000,705.5,58.5
0,0.0000,703,58.5
0,0.0000,699.5,58
0,0.0000,695,57
0,0.0000,691,57
0,0.0000,686.5,56.5
0,0.0000,680,55
0,0.0000,676,55
0,0.0000,672.5,55
0,0.0000,672,55
0,0.0000,670,55
0,0.0000,669,54.5
0,0.0000,667,54.5
0,0.0000,664,54.5
0,0.0000,663.5,54.5
0,0.0000,662.5,53.5
0,0.0000,659,52
0,0.0000,655.5,52
0,0.0000,649.5,52
0,0.0000,644.5,52
0,0.0000,643,52
0,0.0000,642.5,52.5
