curveIndex,static,x,y
0,0.0000,299.000,406.500
0,0.0000,298.500,405.500
0,0.0000,305.000,400.500
0,0.0000,382.500,373.000
0,0.0000,555.500,322.000
0,0.0000,770.000,274.000
0,0.0000,934.000,230.500
0,0.0000,984.000,217.000
0,0.0000,984.000,216.500
0,0.0000,984.000,216.000
0,0.0000,984.000,215.500
0,0.0000,983.500,215.500
0,0.0000,983.000,216.000
1,0.0000,694.000,148.500
1,0.0000,693.000,150.000
1,0.0000,705.500,169.000
1,0.0000,721.500,194.000
1,0.0000,757.500,250.000
1,0.0000,801.500,332.500
1,0.0000,854.500,418.500
1,0.0000,896.000,485.500
1,0.0000,921.500,526.000
1,0.0000,935.000,547.000
1,0.0000,938.500,553.000
1,0.0000,938.500,553.500
